Name;Offset;Val_g3;Val_g4;Size;Type
A429_2AB_RX_SDI_LABEL[21];0x0000027A;0xD2;0xD2;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[22];0x0000027C;0x6C;0x6C;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[23];0x0000027E;0x83;0x83;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[24];0x00000280;0x71;0x71;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[25];0x00000282;0x74;0x74;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[26];0x00000284;0xDC;0xDC;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[27];0x00000286;0xD5;0xD5;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[28];0x00000288;0x8B;0x8B;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[29];0x0000028A;0x68;0x68;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[30];0x0000028C;0xE1;0xE1;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[31];0x0000028E;0x86;0x86;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[32];0x00000290;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[33];0x00000292;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[34];0x00000294;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[35];0x00000296;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[36];0x00000298;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[37];0x0000029A;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[38];0x0000029C;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[39];0x0000029E;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[40];0x000002A0;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[41];0x000002A2;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[42];0x000002A4;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[43];0x000002A6;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[44];0x000002A8;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[45];0x000002AA;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[46];0x000002AC;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[47];0x000002AE;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[48];0x000002B0;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[49];0x000002B2;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[50];0x000002B4;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[51];0x000002B6;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[52];0x000002B8;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[53];0x000002BA;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[54];0x000002BC;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[55];0x000002BE;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[56];0x000002C0;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[57];0x000002C2;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[58];0x000002C4;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[59];0x000002C6;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[60];0x000002C8;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[61];0x000002CA;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[62];0x000002CC;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[63];0x000002CE;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[64];0x000002D0;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[65];0x000002D2;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[66];0x000002D4;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[67];0x000002D6;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[68];0x000002D8;0x800;0x800;2;Unsigned Short
